tax_id,scientific_name,accession,seq_name,seq_len
1621116,Urocyon littoralis dickeyi,KP129082.1,"Urocyon littoralis dickeyi isolate 4947314B0B mitochondrion, complete genome",16469
1621117,Urocyon littoralis catalinae,KP129064.1,"Urocyon littoralis catalinae isolate UNK23 mitochondrion, complete genome",16469
9615,Canis lupus familiaris,OR260566.2,"Canis lupus familiaris isolate HH24Dg mitochondrion, complete genome",16711
9614,Canis latrans,NC_008093.1,"Canis latrans mitochondrion, complete genome",16724
68728,Chrysocyon brachyurus,NC_024172.1,"Chrysocyon brachyurus mitochondrion, complete genome",16760
9611,Canis,OR260566.2,"Canis lupus familiaris isolate HH24Dg mitochondrion, complete genome",16711
68740,Speothos,NC_053974.1,"Speothos venaticus mitochondrion, complete genome",16975
1295334,Canis lupus desertorum,KC461238.1,"Canis lupus desertorum mitochondrion, complete genome",16770
425934,Canis lupus signatus,NC_060652.1,"Canis lupus signatus isolate Cl-H119 mitochondrion, complete genome",16728
55039,Urocyon,NC_026723.1,"Urocyon cinereoargenteus isolate 01PANT-20090525 mitochondrion, complete genome",16469
522687,Ursus arctos pruinosus,MG066703.1,"Ursus arctos pruinosus isolate LZHR mitochondrion, complete genome",16389
1398410,Vulpes vulpes montana,KF387633.1,"Vulpes vulpes montana mitochondrion, complete genome",16688
1419108,Cuon alpinus lepturus,KF646248.1,"Cuon alpinus lepturus mitochondrion, complete genome",16767
